feature,metric,score,p_value,n_effective
signal_rss_crypto_negative_ratio,spearman,-0.23703525226787267,0.09743588870102533,50
signal_rss_crypto_sentiment_finbert_std,spearman,-0.21483548212925857,0.1340684721252868,50
signal_rss_crypto_negative_ratio,pearson,-0.1743608300453749,0.2258816081289424,50
signal_rss_crypto_sentiment_finbert_std,pearson,-0.15804725700632047,0.2729895758698632,50
signal_rss_crypto_positive_ratio,spearman,-0.1181569224687979,0.41379584685043214,50
signal_rss_crypto_sentiment_delta,pearson,0.10186464645992784,0.5428254656292393,38
signal_rss_crypto_sentiment_finbert_mean,pearson,0.08929860206028507,0.537432854616308,50
signal_rss_crypto_title_sentiment,pearson,0.08929860206028507,0.537432854616308,50
signal_rss_crypto_neg_minus_pos,pearson,-0.08158040078616355,0.573291727090313,50
signal_rss_crypto_article_count_zscore_7d,pearson,0.08093893641196612,0.4534659024311877,88
signal_onchain_eth_defi_tvl_total,spearman,-0.0776451682492865,0.00022804517413547388,2249
signal_onchain_eth_defi_tvl_total,pearson,-0.07491880110103716,0.0003766245318885917,2249
signal_wiki_ethereum_zscore_30d,pearson,0.06551242671441151,0.0020082019624261273,2221
signal_wiki_ethereum_delta_log1p,spearman,0.06138146509169387,0.0035905459850557038,2249
signal_wiki_ethereum_pct_change,spearman,0.061374170472258446,0.0035945336336162285,2249
signal_wiki_ethereum_zscore_30d,spearman,0.05952549439204723,0.005013016667224801,2221
signal_onchain_eth_stablecoin_supply,spearman,-0.0587542576623762,0.005316588271708287,2249
signal_wiki_ethereum_delta,spearman,0.057659588997394325,0.006234578107349018,2249
signal_onchain_eth_stablecoin_supply,pearson,-0.05574732146717804,0.008185363394401814,2249
coverage_signal_onchain_eth_l2_tvl_total_zscore_90d,spearman,-0.05543060188980515,0.008556585856290684,2249
signal_rss_crypto_positive_ratio,pearson,-0.05483768995273411,0.7052535994310059,50
signal_rss_crypto_btc_mention_delta,spearman,-0.05425975009069591,0.010062929351051754,2249
signal_rss_crypto_btc_mention_count_delta_log1p,spearman,-0.054246084303058585,0.010081823526247338,2249
coverage_signal_onchain_eth_l2_tvl_total_zscore_90d,pearson,-0.05204156027641892,0.013575653782924984,2249
coverage_signal_onchain_eth_l2_tvl_total,spearman,-0.05118785755172539,0.015192574771812304,2249
coverage_signal_onchain_eth_l2_tvl_total,pearson,-0.04802473078190178,0.022753121670555848,2249
signal_wiki_ethereum_pct_change,pearson,0.04738141665336146,0.024639309277454138,2249
signal_onchain_eth_stablecoin_supply_zscore_30d,pearson,0.04730322177673593,0.02579562077624323,2221
coverage_signal_onchain_eth_l2_tvl_total_pct_change_7d,spearman,-0.04715568687020892,0.025332499980527976,2249
coverage_signal_onchain_eth_l2_tvl_total_pct_change_7d,pearson,-0.04576183201882168,0.029997587669218527,2249
