feature,pearson,pearson_p,spearman,spearman_p,n_obs,n_effective,pearson_p_bh,spearman_p_bh,pearson_significant_bh,spearman_significant_bh
close,-0.042100605658755536,0.7217242216785219,-0.008189559422436134,0.9447898144595888,74,74,0.8907969662980877,0.9447898144595888,false,false
signal_trends_bitcoin,0.26031732188914153,0.025092138538464093,0.12139355966108388,0.30286691600120336,74,74,0.07025798790769947,0.8278839103023465,false,false
signal_trends_bitcoin_crash,0.1497280721893993,0.20292117789054098,0.0692525313310255,0.5576771515581781,74,74,0.3156551656075082,0.8640745773545209,false,false
signal_trends_bitcoin_crash_delta,0.022860807305027778,0.8477604976104487,-0.13586782421041568,0.2517358901436118,73,73,0.9129728435804831,0.8278839103023465,false,false
signal_trends_bitcoin_crash_pct_change,-0.006479751009042019,0.9566100913154968,-0.05821418003382376,0.6246911342260516,73,73,0.9566100913154968,0.8640745773545209,false,false
signal_trends_bitcoin_delta,0.24275007432201406,0.03851589167362157,0.04926931758809288,0.6789157393499806,73,73,0.07703178334724314,0.8640745773545209,false,false
signal_trends_bitcoin_pct_change,0.23362598401118698,0.046671379276032064,0.09859459136459833,0.4066079322773457,73,73,0.08167491373305612,0.8278839103023465,false,false
signal_trends_buy_bitcoin,0.3486882942179821,0.002329644016386697,0.16945850666923834,0.1489129973968007,74,74,0.01630750811470688,0.69492732118507,true,false
signal_trends_buy_bitcoin_delta,0.28267361446360734,0.015387826745574769,0.06888891282358586,0.5625102982193964,73,73,0.07025798790769947,0.8640745773545209,false,false
signal_trends_buy_bitcoin_pct_change,0.2482295480347965,0.03421465983980239,0.0970691384032624,0.41394195515117327,73,73,0.07703178334724314,0.8278839103023465,false,false
signal_trends_crypto,-0.07390168100158666,0.5314724992034149,-0.025980963068819713,0.8260823792066592,74,74,0.7440614988847808,0.9447898144595888,false,false
signal_trends_crypto_delta,0.2660000152126121,0.022928395616929036,0.20642594307599652,0.0797414911462151,73,73,0.07025798790769947,0.5581904380235057,false,false
signal_trends_crypto_pct_change,0.41345667122826807,0.0002772044485137232,0.25173847357520324,0.03167714923130424,73,73,0.003880862279192125,0.4434800892382594,true,false
signal_trends_fear_ratio,-0.03556579962962327,0.7635402568269323,0.010664454921298241,0.928144321680151,74,74,0.8907969662980877,0.9447898144595888,false,false
