pair,contribution_total_profit_pct,trades_total,winrate_pct,presence_in_splits,positive_split_ratio_pct
ZEC/USDT,2.5300000000000002,65,0.8461538461538461,9,77.77777777777779
SOL/USDT,2.33,38,0.8684210526315789,7,66.66666666666666
LTC/USDT,2.1399999999999997,31,0.8387096774193546,8,88.88888888888889
BNB/USDT,1.12,40,0.575,9,77.77777777777779
PAXG/USDT,0.9500000000000001,102,0.4607843137254902,9,77.77777777777779
ARB/USDT,0.7500000000000001,24,0.6666666666666667,7,55.55555555555556
SNX/USDT,0.4,25,0.52,7,66.66666666666666
TRX/USDT,0.31,31,0.5806451612903226,7,55.55555555555556
OP/USDT,-0.16,12,0.6666666666666667,4,0.0
ETH/USDT,-0.2,28,0.4285714285714286,6,11.11111111111111
BTC/USDT,-1.2300000000000002,50,0.12000000000000001,9,11.11111111111111
XRP/USDT,-1.27,29,0.1724137931034483,9,22.22222222222222
DOGE/USDT,-1.9300000000000002,33,0.36363636363636365,9,0.0
