pair_removed,trades,profit_pct,pf,maxdd_pct,delta_pf_vs_baseline,delta_profit_pct_vs_baseline
TRX/USDT,22,0.242198777,1.8822758009027427,0.2109815219999973,0.33319370437343654,0.05904592500000003
ETH/USDT,24,0.22229147100000002,1.855299312166373,0.18216982699999562,0.30621721563706683,0.03913861900000004
BTC/USDT,25,0.21450982799999999,1.7098158595021564,0.24595993499999624,0.16073376297285025,0.03135697600000001
PAXG/USDT,24,0.189519843,1.6042724405367061,0.2260311699999988,0.05519034400739997,0.006366991000000016
XRP/USDT,26,0.19406330100000005,1.6014642650437032,0.24595993499999624,0.05238216851439703,0.010910449000000072
AAVE/USDT,25,0.16731059000000004,1.5773310092946478,0.20219817299999931,0.028248912765341583,-0.01584226199999994
LTC/USDT,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,0.0,0.0
ADA/USDT,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,0.0,0.0
UNI/USDT,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,0.0,0.0
OP/USDT,25,0.15959152599999998,1.5372264584426134,0.20946371100000077,-0.011855638086692766,-0.023561325999999994
BCH/USDT,25,0.146445698,1.4704712487039975,0.22367255299999442,-0.0786108478253087,-0.036707153999999964
SNX/USDT,25,0.14438387600000002,1.462331882285919,0.24595993499999624,-0.08675021424338714,-0.038768975999999955
SOL/USDT,25,0.138063476,1.4331847374943678,0.23111537700000329,-0.11589735903493836,-0.04508937599999999
BNB/USDT,26,0.133131716,1.3991215039109748,0.24595993499999624,-0.1499605926183314,-0.050021135999999966
ARB/USDT,25,0.06317127000000002,1.1893839653232312,0.24595993499999624,-0.35969813120607497,-0.11998158199999996
