scenario,requests_per_day,monthly_requests,fixed_total_usd,variable_total_usd,provider_variable_usd,llm_variable_usd,monthly_total_usd,cost_per_request_usd
low,50,1500,115.0,3.9,0.6,3.3,118.9,0.07926667
medium,50,1500,115.0,4.65,1.35,3.3,119.65,0.07976667
high,50,1500,115.0,6.0,2.7,3.3,121.0,0.08066667
low,200,6000,115.0,15.6,2.4,13.2,130.6,0.02176667
medium,200,6000,115.0,18.6,5.4,13.2,133.6,0.02226667
high,200,6000,115.0,24.0,10.8,13.2,139.0,0.02316667
low,500,15000,115.0,39.0,6.0,33.0,154.0,0.01026667
medium,500,15000,115.0,46.5,13.5,33.0,161.5,0.01076667
high,500,15000,115.0,60.0,27.0,33.0,175.0,0.01166667
x_provider_from_social_costs,50,1500,114.0,21.0,,,120.0,0.01
x_provider_from_social_costs,200,6000,114.0,30.0,,,129.0,0.0043
x_provider_from_social_costs,500,15000,114.0,30.0,,,129.0,0.0043
